| Remove cwd: ./AgentPPO_LandMars_0
################################################################################
ID     Step    maxR |    avgR   stdR   avgS  stdS |    expR   objC   etc.
0  2.92e+06   20.47 |   19.70    0.1    111     0 |    0.05   0.27  -0.10   0.00
0  2.96e+06   20.47 |   19.50    0.2    114     6 |    0.15   0.03   0.08   0.00
0  3.00e+06   20.47 |   19.16    2.8    109     3 |    0.01   0.21  -0.09   0.00
0  3.04e+06   20.47 |  -24.09   42.1    108     7 |   -0.25   0.42  -0.10   0.00
0  3.08e+06   20.47 |   16.68    1.0    118     0 |    0.03   0.22  -0.02   0.00
0  3.13e+06   20.47 |   16.47    1.0    110     2 |    0.09   0.10  -0.17   0.00
0  3.18e+06   20.47 |  -31.16   48.9     95    26 |   -0.03   0.15  -0.07   0.00
0  3.22e+06   20.47 |  -42.04   58.0     50    50 |    0.02   0.35  -0.02   0.00
0  3.27e+06   20.47 |  -25.99   42.2    100     4 |    0.11   0.02  -0.11   0.00
0  3.32e+06   20.47 |   18.35    1.0    109     1 |    0.00   0.40   0.10   0.00
0  3.36e+06   20.47 |   16.95    0.1    105     2 |    0.05   0.23  -0.00   0.00
0  3.41e+06   20.47 |  -27.33   45.1    101    10 |    0.09   0.20   0.08   0.00
0  3.46e+06   20.47 |   16.76    0.5    108     4 |    0.07   0.25   0.13   0.00
0  3.50e+06   20.47 |   18.33    2.2    108     6 |    0.15   0.01  -0.11   0.00
0  3.55e+06   20.47 |   17.43    0.6    108     2 |   -0.11   0.34  -0.09   0.00
0  3.60e+06   20.47 |   16.25    0.4    105     3 |   -0.10   0.41   0.11   0.00
0  3.65e+06   20.47 |   19.74    0.5    112     1 |    0.11   0.11  -0.01   0.00
0  3.69e+06   20.47 |   15.38    0.5    102     2 |    0.18   0.22  -0.10   0.00
0  3.74e+06   20.47 |  -26.40   46.2    116     8 |   -0.12   0.21  -0.08   0.00
0  3.79e+06   20.47 |   19.10    2.1    114     6 |   -0.06   0.22   0.08   0.00
0  3.83e+06   20.47 |  -28.93   45.3     88    13 |    0.10   0.02   0.13   0.00
0  3.88e+06   20.47 |   17.87    0.9    112     1 |    0.13   0.01  -0.02   0.00
0  3.93e+06   20.47 |  -31.50   46.6    100    18 |   -0.16   0.46   0.04   0.00
0  3.97e+06   20.47 |   19.18    1.0    120     0 |   -0.01   0.20   0.01   0.00
0  4.02e+06   20.78 |
0  4.02e+06   20.78 |   20.78    1.6    113     2 |   -0.03   0.19  -0.15   0.00
0  4.07e+06   20.78 |   17.22    0.8    110     6 |   -0.00   0.21  -0.10   0.00
0  4.11e+06   20.78 |   19.84    3.0    110     8 |    0.03   0.02  -0.07   0.00
0  4.16e+06   20.78 |   20.08    0.7    124     4 |    0.13   0.20  -0.07   0.00
0  4.21e+06   20.78 |   16.96    1.3    114    12 |   -0.07   0.15  -0.12   0.00
0  4.25e+06   20.78 |   15.84    7.9    126     6 |    0.00   0.08   0.11   0.00
0  4.30e+06   20.78 |   16.83    0.4    110     0 |   -0.16   0.28  -0.06   0.00
0  4.35e+06   20.78 |  -28.54   46.7    102     7 |   -0.17   0.34   0.03   0.00
0  4.39e+06   20.78 |   18.12    2.1    114     2 |   -0.11   0.17  -0.07   0.00
0  4.44e+06   20.78 |   16.11    0.4    124    16 |   -0.09   0.24  -0.01   0.00
0  4.49e+06   20.78 |   19.50    0.6    114     2 |   -0.00   0.11  -0.06   0.00
0  4.53e+06   20.78 |   17.16    0.4    116     8 |    0.03   0.15   0.02   0.00
0  4.58e+06   20.78 |   17.24    0.3    116     8 |   -0.00   0.23  -0.11   0.00
0  4.63e+06   20.78 |   18.26    0.5    118     8 |    0.00   0.16  -0.01   0.00
0  4.68e+06   20.78 |   17.08    0.6    106     2 |    0.08   0.02   0.08   0.00
0  4.72e+06   20.78 |   17.40    0.8    106     3 |   -0.08   0.20   0.06   0.00
0  4.77e+06   20.78 |   13.92    5.6    127    17 |   -0.03   0.27  -0.12   0.00
0  4.82e+06   20.78 |   12.11    4.6    120    17 |   -0.17   0.31  -0.03   0.00
0  4.86e+06   20.78 |   10.38    5.5    111     8 |   -0.18   0.20  -0.01   0.00
0  4.91e+06   20.78 |   11.20    4.1    108     6 |   -0.09   0.16  -0.06   0.00
0  4.96e+06   20.78 |   14.65    1.3    110     6 |   -0.05   0.14  -0.09   0.00
0  5.00e+06   20.78 |   15.51    0.1    102     2 |    0.10   0.10   0.12   0.00
0  5.05e+06   20.78 |  -42.38   57.6     50    50 |    0.08   0.15   0.02   0.00
0  5.10e+06   20.78 |   15.47    0.8    101     5 |   -0.06   0.32   0.06   0.00
0  5.14e+06   20.78 |   16.43    1.1    108     2 |    0.09   0.02  -0.01   0.00
0  5.19e+06   20.78 |   14.77    0.1     97     0 |    0.15   0.01   0.11   0.00
0  5.24e+06   20.78 |   17.22    1.3    104     0 |    0.05   0.15   0.01   0.00
0  5.28e+06   20.78 |  -39.42   55.3     61    44 |   -0.02   0.20  -0.05   0.00
0  5.33e+06   20.78 |   15.63    0.7    106     8 |    0.09   0.05  -0.17   0.00
0  5.38e+06   20.78 |  -32.81   47.5     84    12 |   -0.07   0.18  -0.08   0.00
0  5.42e+06   20.78 |   15.36    0.1    100     2 |   -0.08   0.13   0.04   0.00
0  5.47e+06   20.78 |   15.62    1.0    106     5 |    0.08   0.16  -0.02   0.00
0  5.52e+06   20.78 |  -26.80   43.5     99     5 |    0.15   0.01  -0.09   0.00
0  5.57e+06   20.78 |   15.68    0.6     99     2 |    0.14   0.01   0.06   0.00
0  5.61e+06   20.78 |  -32.99   48.2     87    11 |    0.15   0.00   0.01   0.00
0  5.66e+06   20.78 |   17.36    0.5    109     0 |    0.05   0.17  -0.03   0.00
0  5.71e+06   20.78 |   13.09    2.3    109     6 |    0.06   0.23  -0.08   0.00
0  5.75e+06   20.78 |   17.00    0.8    111     0 |    0.08   0.02  -0.04   0.00
0  5.80e+06   40.05 |
0  5.80e+06   40.05 |   40.05   20.9    105     7 |    0.05   0.02   0.03   0.00
0  5.85e+06   40.05 |   15.32    0.6    102     4 |    0.10   0.02  -0.11   0.00
0  5.89e+06   40.05 |  -42.08   57.9     50    50 |   -0.13   0.12   0.03   0.00
0  5.94e+06   40.05 |   18.66    1.0    112     2 |    0.04   0.24  -0.07   0.00
0  5.99e+06   40.05 |   16.03    0.7    100     1 |    0.04   0.26  -0.18   0.00
0  6.03e+06   40.05 |   16.85    2.6    119     1 |    0.03   0.30   0.01   0.00
0  6.08e+06   40.05 |   15.87    0.6    102     4 |    0.10   0.01   0.09   0.00
0  6.13e+06   41.30 |
0  6.13e+06   41.30 |   41.30   24.7    113     8 |    0.15   0.01  -0.05   0.00
0  6.17e+06   41.30 |   16.31    1.0    108     6 |    0.09   0.01  -0.11   0.00
0  6.22e+06   41.30 |   40.93   21.8    109     4 |    0.14   0.02  -0.05   0.00
0  6.27e+06   41.30 |   16.52    0.3    106     0 |   -0.07   0.12   0.04   0.00
0  6.31e+06   41.30 |   16.29    0.3    110     3 |   -0.02   0.01  -0.11   0.00
0  6.36e+06   41.30 |  -36.50   52.8     72    32 |    0.01   0.32  -0.04   0.00
0  6.41e+06   41.30 |   16.50    0.2    104     2 |   -0.01   0.14  -0.13   0.00
0  6.45e+06   41.30 |   16.53    1.2    110    10 |    0.10   0.04  -0.14   0.00
0  6.50e+06   41.30 |   15.32    0.1    100     2 |    0.06   0.21  -0.05   0.00
0  6.55e+06   41.30 |  -28.63   49.2     97    29 |    0.09   0.04   0.01   0.00
0  6.60e+06   41.30 |   16.12    0.6    105     4 |   -0.03   0.06  -0.07   0.00
0  6.64e+06   41.30 |   15.23    0.4     99     2 |   -0.02   0.13   0.04   0.00
0  6.69e+06   41.30 |   14.60    0.1    105     1 |    0.13   0.15   0.12   0.00
0  6.73e+06   41.30 |   16.37    2.2    110    10 |    0.17   0.23  -0.16   0.00
0  6.78e+06   41.30 |  -35.11   50.4     80    22 |   -0.01   0.26  -0.05   0.00
0  6.83e+06   41.30 |   15.26    0.6    100     4 |    0.04   0.18   0.11   0.00
0  6.87e+06   41.30 |   17.61    1.8    112     8 |    0.14   0.02   0.07   0.00
0  6.92e+06   41.30 |   16.71    1.0    120     0 |    0.14   0.02  -0.12   0.00
0  6.97e+06   41.30 |   15.60    0.3    104     5 |   -0.02   0.13  -0.19   0.00
0  7.01e+06   41.30 |   15.81    0.1    110     8 |    0.04   0.08  -0.01   0.00
0  7.06e+06   41.30 |   15.71    0.7    102     4 |    0.09   0.01  -0.01   0.00
0  7.11e+06   41.30 |   15.55    0.4    106     3 |    0.10   0.16  -0.05   0.00
0  7.15e+06   41.30 |   15.76    0.8    102     4 |    0.02   0.06  -0.05   0.00
0  7.20e+06   41.30 |  -11.59   78.1     79    37 |    0.14   0.01  -0.06   0.00
0  7.25e+06   41.30 |   15.80    0.5    106     1 |    0.14   0.01   0.09   0.00
0  7.29e+06   41.30 |  -41.31   55.9     54    44 |    0.18   0.08   0.13   0.00
0  7.34e+06   41.30 |   15.19    0.2    102     2 |    0.09   0.10   0.10   0.00
0  7.39e+06   41.30 |   13.92    1.7    106     2 |    0.03   0.04  -0.16   0.00
0  7.43e+06   41.30 |   14.67    0.3     96     2 |   -0.02   0.06   0.07   0.00
0  7.48e+06   41.30 |  -34.63   55.4     78    38 |    0.09   0.01  -0.07   0.00
0  7.53e+06   41.30 |   17.50    2.7    106    10 |    0.08   0.02  -0.05   0.00
0  7.57e+06   41.30 |  -43.38   56.6     48    48 |    0.13   0.03  -0.09   0.00
0  7.62e+06   41.30 |   17.07    1.4    108     6 |    0.09   0.01  -0.00   0.00
0  7.67e+06   41.30 |   18.17    3.4    108    12 |   -0.01   0.14  -0.14   0.00
0  7.71e+06   41.30 |   18.55    2.7    112    10 |   -0.02   0.13  -0.10   0.00
0  7.76e+06   41.30 |  -34.28   51.9     84    32 |   -0.17   0.25  -0.00   0.00
0  7.81e+06   41.30 |   15.24    0.5     98     5 |    0.06   0.17   0.07   0.00
0  7.85e+06   41.30 |   15.00    0.2    104     4 |    0.05   0.10  -0.13   0.00
0  7.90e+06   41.30 |   14.49    0.2     96     2 |    0.08   0.01  -0.05   0.00
0  7.94e+06   41.30 |   14.96    0.2    104     8 |    0.13   0.02   0.05   0.00
0  7.98e+06   41.30 |   16.11    1.0    104     7 |    0.10   0.10  -0.08   0.00
0  8.02e+06   41.30 |   14.51    0.3     95     2 |    0.09   0.04  -0.04   0.00
0  8.06e+06   41.30 |   17.55    1.1    108     0 |    0.09   0.08   0.11   0.00
0  8.10e+06   41.30 |   15.16    0.1    100     0 |    0.14   0.00  -0.00   0.00
0  8.14e+06   41.30 |   15.38    0.1    100     0 |    0.14   0.01   0.02   0.00
0  8.19e+06   41.30 |  -41.14   58.9     55    55 |    0.05   0.12  -0.11   0.00
0  8.24e+06   41.30 |   17.00    1.5    108     6 |    0.04   0.13  -0.01   0.00
0  8.29e+06   41.30 |   14.83    0.6     98     4 |    0.05   0.07  -0.06   0.00
0  8.34e+06   41.30 |   14.74    0.3     96     2 |    0.10   0.07  -0.12   0.00
0  8.38e+06   41.30 |   15.43    0.7    102     5 |    0.17   0.14   0.02   0.00
| UsedTime: 11877 | SavedDir: ./AgentPPO_LandMars_0
