| Remove cwd: ./AgentPPO_LandMars_0
################################################################################
ID     Step    maxR |    avgR   stdR   avgS  stdS |    expR   objC   etc.
0  2.24e+06    2.91 |    2.15    1.1     96     3 |    0.03   0.15   0.26   0.00
0  2.27e+06    2.91 |    1.86    0.8    100     0 |    0.02   0.23   0.29   0.00
0  2.30e+06    2.91 |    1.82    1.1     94     3 |    0.02   0.19   0.28   0.00
0  2.33e+06    2.91 |    1.46    0.7     99     1 |    0.02   0.26   0.28   0.00
0  2.36e+06    2.91 |    2.15    0.9     96     1 |    0.03   0.17   0.34   0.00
0  2.39e+06    2.91 |  -50.00    0.0     21     0 |    0.02   0.14   0.31   0.00
0  2.42e+06    2.91 |  -50.00    0.0     21     0 |   -2.30   0.00   0.34   0.00
0  2.44e+06    2.91 |  -50.00    0.0     21     0 |   -2.30   0.00   0.22   0.00
0  2.47e+06    2.91 |  -50.00    0.0     21     0 |   -2.30   0.01   0.37   0.00
0  2.50e+06    2.91 |  -50.00    0.0     21     0 |   -2.30   0.00   0.28   0.00
0  2.53e+06    2.91 |  -50.00    0.0     21     0 |   -2.30   0.00   0.28   0.00
0  2.56e+06    2.91 |  -50.00    0.0     21     0 |   -2.30   0.00   0.31   0.00
0  2.58e+06    2.91 |  -50.00    0.0     21     0 |   -2.30   0.00   0.35   0.00
0  2.61e+06    2.91 |  -50.00    0.0     21     0 |   -2.30   0.00   0.30   0.00
0  2.64e+06    2.91 |  -50.00    0.0     21     0 |   -2.30   0.00   0.36   0.00
0  2.67e+06    2.91 |  -50.00    0.0     21     0 |   -2.30   0.00   0.36   0.00
0  2.70e+06    2.91 |  -50.00    0.0     21     0 |   -2.30   0.00   0.34   0.00
0  2.73e+06    2.91 |  -50.00    0.0     21     0 |   -2.30   0.00   0.34   0.00
0  2.76e+06    2.91 |  -50.00    0.0     21     0 |   -2.30   0.00   0.41   0.00
0  2.78e+06    2.91 |  -50.00    0.0     21     0 |   -2.30   0.00   0.28   0.00
0  2.81e+06    2.91 |  -50.00    0.0     21     0 |   -2.30   0.00   0.34   0.00
0  2.84e+06    2.91 |  -50.00    0.0     21     0 |   -2.30   0.00   0.28   0.00
0  2.87e+06    2.91 |  -50.00    0.0     21     0 |   -2.30   0.00   0.35   0.00
0  2.90e+06    2.91 |  -50.00    0.0     21     0 |   -2.30   0.00   0.25   0.00
0  2.93e+06    2.91 |  -50.00    0.0     21     0 |   -2.30   0.00   0.35   0.00
0  2.96e+06    2.91 |  -50.00    0.0     21     0 |   -2.15   0.03   0.13   0.00
0  2.98e+06    2.91 |    2.62    1.0     96     4 |    0.02   0.24   0.29   0.00
0  3.01e+06    2.91 |    1.22    0.2     95     4 |    0.03   0.23   0.35   0.00
0  3.04e+06    2.91 |    1.82    1.0     94     1 |    0.02   0.23   0.35   0.00
0  3.07e+06    2.91 |    2.55    0.9     97     3 |    0.02   0.24   0.21   0.00
0  3.10e+06    2.94 |
0  3.10e+06    2.94 |    2.94    1.0     93     2 |    0.02   0.23   0.31   0.00
0  3.13e+06    2.94 |    2.06    0.9     96     3 |    0.02   0.19   0.30   0.00
0  3.16e+06    2.94 |    2.07    0.9     96     4 |    0.02   0.22   0.25   0.00
0  3.18e+06    2.94 |    1.83    1.1     94     4 |    0.02   0.19   0.26   0.00
0  3.21e+06    2.94 |    1.24    0.1     95     3 |    0.02   0.17   0.21   0.00
0  3.24e+06    2.94 |    1.77    0.7     93     2 |    0.02   0.19   0.25   0.00
0  3.27e+06    2.94 |    1.48    0.7     99     2 |    0.02   0.15   0.38   0.00
0  3.30e+06    2.94 |    2.59    0.9     96     4 |    0.02   0.24   0.25   0.00
0  3.33e+06    2.94 |    2.12    1.0     96     2 |    0.02   0.14   0.24   0.00
0  3.36e+06    2.94 |    2.24    1.1     95     3 |    0.02   0.17   0.28   0.00
0  3.39e+06    3.10 |
0  3.39e+06    3.10 |    3.10    0.3     96     2 |    0.02   0.13   0.25   0.00
0  3.41e+06    3.10 |    2.02    1.0     98     2 |    0.02   0.23   0.28   0.00
0  3.44e+06    3.10 |    2.75    1.0     95     3 |    0.02   0.21   0.32   0.00
0  3.47e+06    3.10 |    2.63    1.0     96     3 |    0.02   0.24   0.29   0.00
0  3.50e+06    3.10 |    1.59    0.9     98     2 |    0.02   0.19   0.23   0.00
0  3.53e+06    3.10 |    1.57    0.8     98     3 |    0.02   0.21   0.30   0.00
0  3.56e+06    3.10 |    1.76    1.0     95     3 |    0.02   0.16   0.32   0.00
0  3.59e+06    3.10 |    1.57    0.7     97     2 |    0.02   0.25   0.35   0.00
0  3.62e+06    3.10 |    2.53    0.7     96     1 |    0.02   0.16   0.31   0.00
0  3.65e+06    3.10 |    2.15    1.0     96     2 |    0.02   0.17   0.31   0.00
0  3.67e+06    3.10 |    1.87    1.1     94     3 |    0.02   0.25   0.28   0.00
0  3.70e+06    3.10 |    1.76    1.0     95     3 |    0.02   0.20   0.28   0.00
0  3.73e+06    3.10 |    2.54    0.8     96     2 |    0.02   0.17   0.25   0.00
0  3.76e+06    3.10 |    1.62    0.8     97     2 |    0.02   0.18   0.28   0.00
0  3.79e+06    3.10 |    1.95    0.7     97     3 |    0.03   0.11   0.29   0.00
0  3.82e+06    3.10 |    2.12    0.9     95     3 |   -0.04   0.20   0.21   0.00
0  3.85e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.29   0.00
