| Remove cwd: ./AgentPPO_LandMars_0
################################################################################
ID     Step    maxR |    avgR   stdR   avgS  stdS |    expR   objC   etc.
0  1.64e+07    3.43 |    1.55    0.7     97     2 |    0.02   0.01   0.08   0.00
0  1.64e+07    3.43 |    1.72    0.9     95     2 |    0.02   0.05  -0.13   0.00
0  1.64e+07    3.43 |    2.14    1.0     96     3 |    0.02   0.04   0.16   0.00
0  1.64e+07    3.43 |    1.62    0.8     97     4 |    0.03   0.01  -0.08   0.00
0  1.65e+07    3.43 |    2.51    0.8     97     2 |    0.02   0.05  -0.06   0.00
0  1.65e+07    3.43 |    1.79    1.1     96     3 |    0.02   0.01  -0.08   0.00
0  1.65e+07    3.43 |    2.30    1.1     94     3 |    0.02   0.01  -0.05   0.00
0  1.65e+07    3.43 |    1.51    0.7     98     1 |    0.02   0.05  -0.02   0.00
0  1.66e+07    3.43 |    2.21    1.2     96     3 |    0.02   0.01  -0.08   0.00
0  1.66e+07    3.43 |    1.64    0.8     96     3 |    0.02   0.04   0.00   0.00
0  1.66e+07    3.43 |    2.57    0.9     96     3 |    0.02   0.03   0.05   0.00
0  1.67e+07    3.43 |    1.47    0.7     99     0 |    0.02   0.01  -0.21   0.00
0  1.67e+07    3.43 |    1.88    0.8     99     1 |    0.02   0.03  -0.03   0.00
0  1.67e+07    3.43 |    1.21    0.1     96     2 |    0.02   0.03  -0.14   0.00
0  1.67e+07    3.43 |    3.20    0.4     95     4 |    0.02   0.02   0.04   0.00
0  1.68e+07    3.43 |    1.80    1.0     94     3 |    0.02   0.02  -0.07   0.00
0  1.68e+07    3.43 |    2.58    0.8     96     2 |    0.02   0.00  -0.05   0.00
0  1.68e+07    3.43 |    2.12    0.9     96     2 |    0.02   0.02   0.10   0.00
0  1.69e+07    3.43 |    2.37    1.3     95     4 |    0.02   0.01  -0.01   0.00
0  1.69e+07    3.43 |    2.14    1.0     96     2 |    0.02   0.00  -0.08   0.00
0  1.69e+07    3.43 |    2.43    0.8     98     2 |    0.02   0.02   0.12   0.00
0  1.69e+07    3.43 |    2.52    0.9     97     2 |    0.02   0.00  -0.02   0.00
0  1.70e+07    3.43 |    2.54    0.8     96     2 |    0.02   0.03  -0.22   0.00
0  1.70e+07    3.43 |    2.51    0.7     96     3 |    0.02   0.03   0.08   0.00
0  1.70e+07    3.43 |    1.20    0.2     96     4 |    0.02   0.01  -0.03   0.00
0  1.71e+07    3.43 |    1.90    1.0     93     1 |    0.02   0.00   0.03   0.00
0  1.71e+07    3.43 |    2.02    0.7     96     3 |    0.02   0.00   0.16   0.00
0  1.71e+07    3.43 |    1.71    1.1     97     3 |    0.02   0.01   0.01   0.00
0  1.71e+07    3.43 |    2.53    0.8     96     2 |    0.02   0.01   0.01   0.00
0  1.72e+07    3.43 |    1.55    0.7     98     3 |    0.02   0.01   0.02   0.00
0  1.72e+07    3.43 |    1.51    0.8     99     2 |    0.02   0.05   0.02   0.00
0  1.72e+07    3.43 |    2.02    1.0     98     2 |    0.02   0.03  -0.04   0.00
0  1.73e+07    3.43 |    2.97    0.2     96     2 |    0.02   0.01   0.05   0.00
0  1.73e+07    3.43 |    1.66    0.7     95     3 |    0.02   0.03  -0.15   0.00
0  1.73e+07    3.43 |    2.18    1.0     96     4 |    0.02   0.02  -0.03   0.00
0  1.73e+07    3.43 |    1.63    0.6     95     3 |    0.02   0.01  -0.12   0.00
0  1.74e+07    3.43 |    1.63    0.7     96     2 |    0.02   0.01   0.05   0.00
0  1.74e+07    3.43 |    1.53    0.8     98     2 |    0.02   0.01   0.02   0.00
0  1.74e+07    3.43 |    1.10    0.1     98     3 |    0.02   0.00  -0.11   0.00
0  1.75e+07    3.43 |    2.03    1.1     98     4 |    0.02   0.02   0.04   0.00
0  1.75e+07    3.43 |    2.31    1.3     96     5 |    0.02   0.04  -0.09   0.00
0  1.75e+07    3.43 |    1.57    0.9     99     2 |    0.02   0.00   0.04   0.00
0  1.75e+07    3.43 |    3.17    0.5     95     4 |    0.02   0.01   0.02   0.00
0  1.76e+07    3.43 |    1.89    0.8     99     1 |    0.02   0.02  -0.05   0.00
0  1.76e+07    3.43 |    2.17    0.9     95     2 |    0.02   0.00  -0.00   0.00
0  1.76e+07    3.43 |    2.23    1.1     95     3 |    0.02   0.01   0.21   0.00
0  1.77e+07    3.43 |    2.35    1.0     93     2 |    0.02   0.01  -0.01   0.00
0  1.77e+07    3.43 |    1.96    0.9     99     2 |    0.02   0.00   0.01   0.00
0  1.77e+07    3.43 |    2.14    1.0     96     3 |    0.02   0.00   0.07   0.00
0  1.77e+07    3.43 |    1.09    0.1     98     2 |    0.02   0.01   0.19   0.00
0  1.78e+07    3.43 |    1.11    0.1     98     2 |    0.02   0.01  -0.03   0.00
0  1.78e+07    3.43 |    2.41    0.7     97     2 |    0.02   0.01   0.03   0.00
0  1.78e+07    3.43 |    2.23    1.0     94     3 |    0.01   0.02   0.13   0.00
0  1.79e+07    3.43 |    1.48    0.7     99     2 |    0.02   0.02  -0.08   0.00
0  1.79e+07    3.43 |    1.19    0.1     96     3 |    0.02   0.01   0.07   0.00
0  1.79e+07    3.43 |    2.67    0.9     96     3 |    0.02   0.01   0.03   0.00
0  1.79e+07    3.43 |    2.47    1.2     93     2 |    0.02   0.00   0.09   0.00
0  1.80e+07    3.43 |    2.15    1.0     96     2 |    0.02   0.01  -0.11   0.00
0  1.80e+07    3.43 |    2.33    1.2     95     4 |    0.02   0.00   0.16   0.00
0  1.80e+07    3.43 |    2.33    1.1     94     2 |    0.02   0.01  -0.03   0.00
0  1.81e+07    3.43 |    2.04    0.8     96     4 |    0.02   0.06  -0.11   0.00
0  1.81e+07    3.43 |    1.53    0.6     98     4 |    0.02   0.00   0.06   0.00
0  1.81e+07    3.43 |    2.66    0.9     96     2 |    0.02   0.02   0.12   0.00
0  1.81e+07    3.43 |    2.38    1.2     95     3 |    0.02   0.07  -0.06   0.00
0  1.82e+07    3.43 |    1.30    0.1     94     2 |    0.02   0.00  -0.11   0.00
0  1.82e+07    3.43 |    2.30    1.0     94     2 |    0.02   0.06  -0.06   0.00
0  1.82e+07    3.43 |    2.77    1.0     96     3 |    0.02   0.01  -0.09   0.00
0  1.83e+07    3.43 |    2.83    1.1     95     3 |    0.02   0.01   0.19   0.00
0  1.83e+07    3.43 |    2.66    0.9     96     3 |    0.02   0.02  -0.05   0.00
0  1.83e+07    3.43 |    2.24    1.1     96     2 |    0.02   0.02   0.16   0.00
0  1.83e+07    3.43 |    1.10    0.1     99     3 |    0.02   0.04  -0.07   0.00
0  1.84e+07    3.43 |    1.83    1.0     95     3 |    0.02   0.06  -0.08   0.00
0  1.84e+07    3.43 |    2.06    0.8     97     2 |    0.02   0.03   0.14   0.00
0  1.84e+07    3.43 |    1.67    0.8     96     2 |    0.02   0.00  -0.02   0.00
0  1.85e+07    3.43 |    2.99    1.0     94     1 |    0.02   0.03   0.07   0.00
0  1.85e+07    3.43 |    2.17    0.8     95     3 |    0.02   0.01   0.04   0.00
0  1.85e+07    3.43 |    1.77    1.1     97     3 |    0.02   0.06   0.00   0.00
0  1.85e+07    3.43 |    2.14    0.8     96     2 |    0.02   0.00  -0.07   0.00
0  1.86e+07    3.43 |    1.63    0.6     96     3 |    0.02   0.06   0.03   0.00
0  1.86e+07    3.43 |    1.71    0.9     96     2 |    0.02   0.02  -0.13   0.00
0  1.86e+07    3.43 |    1.69    1.1     98     4 |    0.02   0.01   0.14   0.00
0  1.86e+07    3.43 |    1.29    0.1     94     2 |    0.02   0.02   0.00   0.00
0  1.87e+07    3.43 |    2.48    1.2     94     3 |    0.02   0.03  -0.08   0.00
0  1.87e+07    3.43 |    2.23    1.1     96     4 |    0.02   0.04   0.03   0.00
0  1.87e+07    3.43 |    1.64    0.7     96     3 |    0.02   0.01   0.11   0.00
0  1.88e+07    3.43 |    2.51    0.6     97     3 |    0.02   0.06  -0.03   0.00
0  1.88e+07    3.43 |    1.70    1.0     99     3 |    0.02   0.04  -0.07   0.00
0  1.88e+07    3.43 |    2.96    1.0     94     2 |    0.02   0.04  -0.02   0.00
0  1.88e+07    3.43 |    1.85    1.0     94     1 |    0.02   0.03   0.02   0.00
0  1.89e+07    3.43 |    1.31    0.1     94     3 |    0.02   0.01   0.02   0.00
0  1.89e+07    3.43 |    2.71    0.8     95     2 |    0.02   0.01   0.00   0.00
0  1.89e+07    3.43 |    3.08    1.1     94     3 |    0.02   0.03   0.00   0.00
0  1.90e+07    3.43 |    2.71    0.9     96     2 |    0.02   0.01  -0.11   0.00
0  1.90e+07    3.43 |    2.32    1.1     94     1 |    0.02   0.03  -0.01   0.00
0  1.90e+07    3.43 |    1.60    0.7     97     1 |    0.02   0.02  -0.04   0.00
0  1.90e+07    3.43 |    2.09    0.9     96     4 |    0.02   0.04  -0.01   0.00
0  1.91e+07    3.43 |    1.97    0.9     99     2 |    0.02   0.00  -0.06   0.00
0  1.91e+07    3.43 |    3.17    0.3     96     3 |    0.02   0.02  -0.13   0.00
0  1.91e+07    3.43 |    2.27    1.1     96     3 |    0.02   0.01   0.08   0.00
0  1.92e+07    3.43 |    1.57    0.7     97     1 |    0.02   0.00   0.05   0.00
0  1.92e+07    3.43 |    1.72    0.9     96     4 |    0.02   0.04  -0.08   0.00
0  1.92e+07    3.43 |    1.72    0.9     96     4 |    0.02   0.01  -0.02   0.00
0  1.92e+07    3.43 |    1.56    0.8     99     1 |    0.02   0.03   0.16   0.00
0  1.93e+07    3.43 |    2.18    1.0     96     4 |    0.02   0.03   0.10   0.00
0  1.93e+07    3.43 |    2.03    0.8     98     2 |    0.02   0.04   0.08   0.00
0  1.93e+07    3.43 |    2.07    1.0     98     3 |    0.03   0.02   0.01   0.00
0  1.94e+07    3.43 |    2.90    0.9     94     3 |    0.02   0.03   0.10   0.00
0  1.94e+07    3.43 |    2.77    0.9     96     2 |    0.02   0.05  -0.21   0.00
0  1.94e+07    3.43 |    2.46    1.3     95     4 |    0.02   0.05   0.03   0.00
0  1.94e+07    3.43 |    1.82    1.0     95     2 |    0.02   0.06   0.03   0.00
0  1.95e+07    3.43 |    2.70    1.0     97     4 |    0.02   0.00  -0.03   0.00
0  1.95e+07    3.43 |    1.14    0.1     98     1 |    0.02   0.00  -0.07   0.00
0  1.95e+07    3.43 |    2.29    1.1     96     2 |    0.03   0.01  -0.01   0.00
0  1.96e+07    3.43 |    1.64    0.7     97     2 |    0.02   0.02  -0.03   0.00
0  1.96e+07    3.43 |    1.59    0.6     97     4 |    0.02   0.05  -0.03   0.00
0  1.96e+07    3.43 |    1.89    1.1     95     4 |    0.02   0.01  -0.02   0.00
0  1.96e+07    3.43 |    2.10    1.0     98     3 |    0.02   0.03  -0.01   0.00
0  1.97e+07    3.43 |    2.21    1.0     96     2 |    0.02   0.03  -0.16   0.00
0  1.97e+07    3.43 |    1.74    0.7     94     3 |    0.03   0.01   0.09   0.00
0  1.97e+07    3.43 |    2.20    1.1     96     5 |    0.02   0.00  -0.06   0.00
0  1.98e+07    3.43 |    2.00    1.0     99     3 |    0.02   0.02   0.05   0.00
0  1.98e+07    3.43 |    3.12    0.2     96     2 |    0.02   0.05  -0.06   0.00
0  1.98e+07    3.43 |    2.18    0.8     95     3 |    0.02   0.01   0.09   0.00
0  1.98e+07    3.43 |    2.58    1.0     97     4 |    0.02   0.01  -0.07   0.00
0  1.99e+07    3.43 |    2.16    1.1     97     3 |    0.02   0.01  -0.02   0.00
0  1.99e+07    3.43 |    2.37    1.0     94     1 |    0.02   0.02  -0.03   0.00
0  1.99e+07    3.43 |    1.61    0.6     97     3 |    0.02   0.04   0.08   0.00
0  2.00e+07    3.43 |    2.03    0.7     97     3 |    0.02   0.00  -0.08   0.00
0  2.00e+07    3.43 |    1.20    0.1     97     4 |    0.02   0.03  -0.21   0.00
0  2.00e+07    3.43 |    1.79    1.0     95     2 |    0.02   0.04  -0.04   0.00
0  2.00e+07    3.43 |    2.05    0.9     97     3 |    0.02   0.01  -0.13   0.00
0  2.01e+07    3.43 |    2.30    0.9     94     2 |    0.02   0.00   0.12   0.00
0  2.01e+07    3.43 |    3.32    0.4     94     3 |    0.02   0.02   0.09   0.00
0  2.01e+07    3.43 |    2.37    1.1     94     1 |    0.02   0.00  -0.13   0.00
0  2.02e+07    3.43 |    1.75    1.0     96     2 |    0.02   0.00  -0.16   0.00
0  2.02e+07    3.43 |    1.70    0.6     94     3 |    0.02   0.00   0.03   0.00
0  2.02e+07    3.43 |    1.82    1.0     94     4 |    0.02   0.00   0.04   0.00
0  2.02e+07    3.43 |    1.64    0.9     97     3 |    0.02   0.02  -0.02   0.00
0  2.03e+07    3.43 |    2.60    0.8     96     4 |    0.02   0.00   0.08   0.00
0  2.03e+07    3.43 |    1.64    0.8     96     1 |    0.02   0.03  -0.05   0.00
0  2.03e+07    3.43 |    1.50    0.7     99     0 |    0.02   0.03  -0.04   0.00
0  2.04e+07    3.43 |    2.27    1.2     96     4 |    0.03   0.00  -0.04   0.00
0  2.04e+07    3.43 |    2.57    0.8     96     4 |    0.02   0.01  -0.03   0.00
0  2.04e+07    3.43 |    1.77    0.8     94     1 |    0.02   0.01   0.20   0.00
0  2.04e+07    3.43 |    1.17    0.1     97     2 |    0.02   0.00  -0.06   0.00
0  2.05e+07    3.43 |    2.18    1.1     96     2 |    0.01   0.00   0.00   0.00
0  2.05e+07    3.43 |    1.64    0.8     97     3 |    0.02   0.01  -0.03   0.00
0  2.05e+07    3.43 |    2.16    1.0     96     2 |    0.02   0.02  -0.33   0.00
0  2.06e+07    3.43 |    1.63    0.8     97     3 |    0.02   0.01   0.00   0.00
0  2.06e+07    3.43 |    1.63    0.6     95     3 |    0.02   0.00  -0.04   0.00
0  2.06e+07    3.43 |    1.72    1.1     97     4 |    0.02   0.01  -0.16   0.00
0  2.06e+07    3.43 |    1.23    0.2     95     4 |    0.02   0.01  -0.03   0.00
0  2.07e+07    3.43 |    2.63    0.8     95     3 |    0.02   0.00  -0.08   0.00
0  2.07e+07    3.43 |    2.65    0.9     96     3 |    0.02   0.01  -0.01   0.00
0  2.07e+07    3.43 |    1.59    0.7     97     3 |    0.02   0.01   0.09   0.00
0  2.08e+07    3.43 |    1.89    1.1     93     2 |    0.02   0.02   0.07   0.00
0  2.08e+07    3.43 |    2.24    1.0     95     3 |    0.02   0.00  -0.04   0.00
0  2.08e+07    3.43 |    1.68    0.7     95     2 |    0.02   0.04   0.00   0.00
0  2.08e+07    3.43 |    1.78    1.0     95     4 |    0.02   0.02  -0.10   0.00
0  2.09e+07    3.43 |    1.55    0.6     97     4 |    0.02   0.03   0.02   0.00
0  2.09e+07    3.43 |    1.26    0.1     95     2 |    0.02   0.00   0.01   0.00
0  2.09e+07    3.43 |    2.24    1.1     95     2 |    0.02   0.03   0.16   0.00
0  2.10e+07    3.43 |    1.81    0.9     94     1 |    0.02   0.00  -0.04   0.00
0  2.10e+07    3.43 |    1.59    0.6     96     3 |    0.02   0.01  -0.13   0.00
0  2.10e+07    3.43 |    2.17    0.9     95     2 |    0.02   0.02  -0.03   0.00
0  2.10e+07    3.43 |    2.18    0.8     94     2 |    0.02   0.01  -0.10   0.00
0  2.11e+07    3.43 |    2.07    0.9     96     4 |    0.02   0.02  -0.09   0.00
0  2.11e+07    3.43 |    2.60    0.9     96     3 |    0.02   0.02  -0.12   0.00
0  2.11e+07    3.43 |    2.25    1.0     94     1 |    0.02   0.00   0.08   0.00
0  2.12e+07    3.43 |    2.82    0.9     94     2 |    0.02   0.00  -0.07   0.00
0  2.12e+07    3.43 |    1.12    0.1     98     3 |    0.02   0.02   0.02   0.00
0  2.12e+07    3.43 |    1.27    0.1     94     1 |    0.02   0.02  -0.11   0.00
0  2.12e+07    3.43 |    2.07    0.9     97     2 |    0.02   0.01   0.08   0.00
0  2.13e+07    3.43 |    2.11    1.0     96     2 |    0.03   0.02   0.02   0.00
0  2.13e+07    3.43 |    1.85    1.0     94     2 |    0.02   0.00  -0.03   0.00
0  2.13e+07    3.43 |    1.67    0.9     96     3 |    0.02   0.01   0.07   0.00
0  2.13e+07    3.43 |    2.10    1.0     96     3 |    0.02   0.01  -0.05   0.00
0  2.14e+07    3.43 |    2.03    0.9     97     4 |    0.02   0.03  -0.02   0.00
0  2.14e+07    3.43 |    1.77    1.0     95     3 |    0.02   0.02  -0.03   0.00
0  2.14e+07    3.43 |    1.56    0.6     96     3 |    0.02   0.00  -0.09   0.00
0  2.15e+07    3.43 |    2.17    0.9     94     3 |    0.02   0.00  -0.07   0.00
0  2.15e+07    3.43 |    3.01    1.0     92     1 |    0.02   0.01   0.02   0.00
0  2.15e+07    3.43 |    1.55    0.7     97     3 |    0.02   0.01  -0.13   0.00
0  2.15e+07    3.43 |    1.15    0.1     97     3 |    0.02   0.00   0.14   0.00
0  2.16e+07    3.43 |    1.97    0.7     97     3 |    0.02   0.00   0.12   0.00
0  2.16e+07    3.43 |    2.62    0.9     96     3 |    0.02   0.01   0.09   0.00
0  2.16e+07    3.43 |    2.69    0.8     94     3 |    0.02   0.00  -0.06   0.00
0  2.17e+07    3.43 |    1.14    0.1     97     3 |    0.02   0.01   0.12   0.00
0  2.17e+07    3.43 |    2.91    0.4     97     3 |    0.02   0.01  -0.03   0.00
0  2.17e+07    3.43 |    3.38    0.4     93     3 |    0.02   0.00   0.06   0.00
0  2.17e+07    3.43 |    2.07    0.9     97     1 |    0.02   0.04   0.05   0.00
0  2.18e+07    3.43 |    1.71    1.0     96     4 |    0.02   0.00  -0.06   0.00
0  2.18e+07    3.43 |    2.16    1.0     96     4 |    0.02   0.01  -0.01   0.00
0  2.18e+07    3.43 |    2.18    1.2     97     3 |    0.02   0.06  -0.20   0.00
0  2.19e+07    3.43 |    1.61    0.8     97     3 |    0.02   0.00  -0.00   0.00
0  2.19e+07    3.43 |    2.65    0.9     96     2 |    0.02   0.01  -0.06   0.00
0  2.19e+07    3.43 |    1.93    0.9     99     1 |    0.02   0.05  -0.12   0.00
0  2.19e+07    3.43 |    2.13    0.9     96     3 |    0.02   0.00  -0.02   0.00
0  2.20e+07    3.43 |    1.56    0.8     98     2 |    0.02   0.00  -0.01   0.00
0  2.20e+07    3.43 |    2.10    0.9     96     2 |    0.02   0.01  -0.06   0.00
0  2.20e+07    3.43 |    2.23    0.9     94     2 |    0.02   0.03   0.06   0.00
0  2.21e+07    3.43 |    3.09    0.4     96     3 |    0.02   0.02  -0.09   0.00
0  2.21e+07    3.43 |    1.69    0.8     95     1 |    0.02   0.02  -0.07   0.00
0  2.21e+07    3.43 |    1.67    0.6     94     2 |    0.02   0.04  -0.13   0.00
0  2.21e+07    3.43 |    2.31    1.0     94     0 |    0.02   0.01  -0.09   0.00
0  2.22e+07    3.43 |    2.81    1.0     94     2 |    0.02   0.01  -0.01   0.00
0  2.22e+07    3.43 |    2.19    1.0     95     2 |    0.02   0.05   0.11   0.00
0  2.22e+07    3.43 |    1.23    0.1     95     2 |    0.02   0.04   0.09   0.00
0  2.23e+07    3.43 |    2.12    1.1     97     3 |    0.02   0.05   0.05   0.00
0  2.23e+07    3.43 |    2.08    1.0     97     3 |    0.02   0.01   0.15   0.00
0  2.23e+07    3.43 |    1.54    0.6     97     2 |    0.02   0.03   0.22   0.00
0  2.23e+07    3.43 |    2.92    0.1     97     1 |    0.02   0.00  -0.12   0.00
0  2.24e+07    3.43 |    1.69    1.0     97     3 |    0.02   0.02   0.09   0.00
0  2.24e+07    3.43 |    1.95    0.8     98     1 |    0.02   0.01  -0.04   0.00
0  2.24e+07    3.43 |    2.24    1.0     94     2 |    0.02   0.04  -0.14   0.00
0  2.25e+07    3.43 |    1.58    0.7     97     4 |    0.02   0.01  -0.01   0.00
0  2.25e+07    3.43 |    2.21    0.9     94     2 |    0.02   0.00  -0.02   0.00
0  2.25e+07    3.43 |    1.11    0.1     98     2 |    0.02   0.00  -0.06   0.00
0  2.25e+07    3.43 |    2.27    1.1     95     4 |    0.02   0.00   0.13   0.00
0  2.26e+07    3.43 |    1.81    0.9     93     2 |    0.02   0.00   0.11   0.00
0  2.26e+07    3.43 |    2.15    1.1     97     3 |    0.02   0.00   0.00   0.00
0  2.26e+07    3.43 |    1.84    1.1     94     3 |    0.02   0.00  -0.20   0.00
0  2.27e+07    3.43 |    1.56    0.8     98     1 |    0.02   0.03   0.07   0.00
0  2.27e+07    3.47 |
0  2.27e+07    3.47 |    3.47    0.1     92     1 |    0.02   0.01  -0.10   0.00
0  2.27e+07    3.47 |    1.71    0.8     95     3 |    0.02   0.00   0.00   0.00
0  2.27e+07    3.47 |    2.27    1.2     96     4 |    0.02   0.01  -0.03   0.00
0  2.28e+07    3.47 |    1.13    0.1     98     2 |    0.02   0.00   0.02   0.00
0  2.28e+07    3.47 |    2.93    0.2     97     2 |    0.02   0.00  -0.04   0.00
0  2.28e+07    3.47 |    1.86    1.0     93     2 |    0.02   0.00   0.00   0.00
0  2.28e+07    3.47 |    1.68    1.2     98     4 |    0.02   0.01   0.06   0.00
0  2.29e+07    3.47 |    1.51    0.7     99     2 |    0.02   0.06  -0.06   0.00
0  2.29e+07    3.47 |    1.71    0.9     96     1 |    0.02   0.00   0.02   0.00
0  2.29e+07    3.47 |    1.64    0.9     98     3 |    0.02   0.04   0.01   0.00
0  2.30e+07    3.47 |    2.72    0.8     94     2 |    0.02   0.00   0.06   0.00
0  2.30e+07    3.47 |    1.71    1.0     96     2 |    0.02   0.00  -0.03   0.00
0  2.30e+07    3.47 |    1.13    0.1     98     3 |    0.02   0.01   0.02   0.00
0  2.30e+07    3.47 |    3.14    0.4     95     3 |    0.02   0.01   0.14   0.00
0  2.31e+07    3.47 |    2.79    0.9     94     4 |    0.02   0.03  -0.07   0.00
0  2.31e+07    3.47 |    2.63    0.8     95     0 |    0.02   0.01  -0.05   0.00
0  2.31e+07    3.47 |    2.18    1.1     96     3 |    0.02   0.00  -0.01   0.00
0  2.32e+07    3.47 |    1.54    0.7     98     1 |    0.02   0.02   0.05   0.00
0  2.32e+07    3.47 |    2.29    1.0     94     1 |    0.02   0.00  -0.01   0.00
0  2.32e+07    3.47 |    2.84    0.9     93     3 |    0.02   0.02  -0.11   0.00
0  2.32e+07    3.47 |    2.19    1.1     96     2 |    0.02   0.00  -0.05   0.00
0  2.33e+07    3.47 |    1.73    0.9     95     3 |    0.02   0.00  -0.01   0.00
0  2.33e+07    3.47 |    1.71    0.9     96     3 |    0.02   0.02   0.11   0.00
0  2.33e+07    3.47 |    1.82    1.1     94     4 |    0.02   0.00  -0.09   0.00
0  2.34e+07    3.47 |    1.12    0.1     98     2 |    0.02   0.01   0.00   0.00
0  2.34e+07    3.47 |    1.89    1.1     93     3 |    0.02   0.02  -0.04   0.00
0  2.34e+07    3.47 |    2.05    0.8     96     3 |    0.02   0.03   0.19   0.00
0  2.34e+07    3.47 |    2.03    0.8     96     2 |    0.02   0.02   0.27   0.00
0  2.35e+07    3.47 |    2.10    1.0     96     3 |    0.02   0.01  -0.06   0.00
0  2.35e+07    3.47 |    1.86    1.1     94     3 |    0.02   0.00   0.06   0.00
0  2.35e+07    3.47 |    2.15    1.0     96     1 |    0.02   0.01  -0.11   0.00
0  2.36e+07    3.47 |    1.28    0.1     94     2 |    0.03   0.00  -0.13   0.00
0  2.36e+07    3.47 |    1.64    0.6     95     4 |    0.02   0.01   0.09   0.00
0  2.36e+07    3.47 |    2.05    1.0     98     3 |    0.01   0.02  -0.10   0.00
0  2.36e+07    3.47 |    2.54    0.9     97     3 |    0.02   0.01  -0.04   0.00
0  2.37e+07    3.47 |    1.88    0.9    100     2 |    0.02   0.00  -0.08   0.00
0  2.37e+07    3.47 |    1.75    1.0     95     2 |    0.02   0.01   0.15   0.00
0  2.37e+07    3.47 |    2.17    1.1     96     4 |    0.02   0.05   0.03   0.00
0  2.37e+07    3.47 |    2.32    1.2     95     4 |    0.02   0.01   0.15   0.00
0  2.38e+07    3.47 |    1.77    0.9     94     3 |    0.02   0.01  -0.06   0.00
0  2.38e+07    3.47 |    1.77    0.9     94     3 |    0.02   0.00  -0.07   0.00
0  2.38e+07    3.47 |    2.63    0.9     96     3 |    0.02   0.01  -0.14   0.00
0  2.39e+07    3.47 |    3.09    0.3     96     3 |    0.02   0.00  -0.04   0.00
0  2.39e+07    3.47 |    1.62    0.6     96     4 |    0.02   0.00  -0.02   0.00
0  2.39e+07    3.47 |    2.98    0.3     96     3 |    0.02   0.02  -0.01   0.00
0  2.39e+07    3.47 |    2.04    0.8     96     3 |    0.02   0.03   0.14   0.00
0  2.40e+07    3.47 |    2.59    0.9     96     2 |    0.02   0.00  -0.02   0.00
0  2.40e+07    3.47 |    1.75    0.8     94     2 |    0.02   0.03  -0.11   0.00
0  2.40e+07    3.47 |    2.15    1.0     96     1 |    0.02   0.04  -0.00   0.00
0  2.41e+07    3.47 |    2.23    1.1     96     3 |    0.02   0.00  -0.03   0.00
0  2.41e+07    3.47 |    1.20    0.1     96     3 |    0.02   0.05   0.04   0.00
0  2.41e+07    3.47 |    2.06    0.9     97     3 |    0.02   0.01   0.04   0.00
0  2.41e+07    3.47 |    1.19    0.2     96     4 |    0.02   0.00  -0.05   0.00
0  2.42e+07    3.47 |    1.66    0.9     96     2 |    0.02   0.00  -0.06   0.00
0  2.42e+07    3.47 |    1.52    0.7     98     2 |    0.02   0.01   0.00   0.00
0  2.42e+07    3.47 |    1.61    0.8     96     3 |    0.02   0.00  -0.07   0.00
0  2.43e+07    3.47 |    1.28    0.1     94     2 |    0.02   0.00  -0.23   0.00
0  2.43e+07    3.47 |    2.17    1.1     96     3 |    0.02   0.00  -0.14   0.00
0  2.43e+07    3.47 |    2.72    1.0     96     4 |    0.02   0.02  -0.00   0.00
0  2.43e+07    3.47 |    1.27    0.1     94     2 |    0.02   0.00   0.10   0.00
0  2.44e+07    3.47 |    2.10    1.0     96     3 |    0.02   0.01   0.05   0.00
0  2.44e+07    3.47 |    1.76    1.0     95     4 |    0.02   0.00   0.02   0.00
0  2.44e+07    3.47 |    1.60    0.7     96     2 |    0.02   0.01  -0.15   0.00
0  2.45e+07    3.47 |    1.14    0.1     97     2 |    0.02   0.00  -0.06   0.00
0  2.45e+07    3.47 |    1.61    0.6     96     3 |    0.02   0.00   0.02   0.00
0  2.45e+07    3.47 |    1.24    0.1     95     3 |    0.02   0.01  -0.09   0.00
0  2.45e+07    3.47 |    2.03    0.8     97     2 |    0.02   0.00  -0.04   0.00
0  2.46e+07    3.47 |    2.46    0.8     98     2 |    0.02   0.01  -0.08   0.00
0  2.46e+07    3.47 |    1.58    0.8     98     2 |    0.02   0.00   0.02   0.00
0  2.46e+07    3.47 |    2.10    1.0     97     2 |    0.02   0.01   0.11   0.00
0  2.47e+07    3.47 |    2.65    0.9     95     1 |    0.02   0.01  -0.15   0.00
0  2.47e+07    3.47 |    2.07    0.9     96     2 |    0.02   0.05  -0.02   0.00
0  2.47e+07    3.47 |    2.28    1.1     94     1 |    0.02   0.01  -0.19   0.00
0  2.47e+07    3.47 |    2.70    0.8     95     2 |    0.02   0.03  -0.00   0.00
0  2.48e+07    3.47 |    1.73    1.0     96     3 |    0.02   0.00   0.02   0.00
0  2.48e+07    3.47 |    1.06    0.1    100     3 |    0.02   0.01  -0.08   0.00
0  2.48e+07    3.47 |    1.59    0.6     96     3 |    0.02   0.00  -0.17   0.00
0  2.49e+07    3.47 |    1.24    0.1     95     2 |    0.02   0.01  -0.04   0.00
0  2.49e+07    3.47 |    1.47    0.7     99     1 |    0.02   0.00   0.03   0.00
0  2.49e+07    3.47 |    2.11    1.0     96     2 |    0.02   0.02  -0.09   0.00
0  2.49e+07    3.47 |    2.17    1.1     96     3 |    0.02   0.00  -0.15   0.00
0  2.50e+07    3.47 |    2.22    1.1     96     4 |    0.02   0.01   0.07   0.00
